,Total Downloads Since First Tracked (USA),Total Revenue Since First Tracked (USA),Total Downloads Since First Tracked (Global),Total Revenue Since First Tracked (Global),"""USA Daily Active Users (Past 30 days)""","""USA Monthly Active Users (Past 30 days)""","""Global Daily Active Users (Past 30 days)""","""Global Monthly Active Users (Past 30 days)"""
Occubuzz,195,$0.00,"3,500",$0,0,0,399,"2,600"
MyDrink Control,140,$0.00,"18,400",$0,0,0,277,"2,600"
"Anxiety No More: Strategies for Anxiety, Depression, and Panic",27,$0.00,"11,600",$0,0,0,206,"1,900"
Sidekick,607,$0.00,"7,400",$0,0,0,191,"1,600"
Wysa,0,$0.00,"2,400",$585,0,0,216,"1,500"
Music eScape,70,$0.00,"6,800",$0,0,0,131,"1,200"
Wellness: Mood Meds & Health,0,$0.00,"2,400",$497,0,0,124,"1,200"
Emotion+,22,$0.00,"9,200",$0,0,0,128,"1,100"
MindMax,0,$0.00,"6,500",$0.00,0,0,110,"1,100"
Chill Panda,262,$0.00,"8,800",$0.00,0,0,158,"1,000"
Toxic Thinking,"1,200",$0.00,"6,800",$0,0,0,94,854
Better Mood Tracker: A Quantified Self Research Tool,820,$0.00,"6,800",$4,0,0,64,597
Preksha Meditation*,292,$0.00,"4,700",0,0,0,55,503
Operation Reach Out,152,$0.00,"1,800",0,0,0,57,484
Smoke Free 28 (SF28),0,$0.00,"2,400",$0,0,0,36,332
The Worrinots,3,$0.00,435,$0,0,0,49,314
distrACT,0,$0.00,"1,200",$0,0,0,16,165
FearFighter - CCBT,7,$0.00,451,$0,0,0,20,153
Appyness,0,$0.00,"1,400",$0,0,0,15,145
Overcoming Anxiety Depression - This Way Up,0,$0.00,976,"$28,400.00",0,0,15,144
Stress Test - risk calculator of long-term life stress,0,$0.00,"1,100",$0,0,0,12,125
Baby Massage Basics,0,$0.00,"1,400",$0,0,0,14,124
Mersey Care Self Help,6,$0.00,"1,000",$0,0,0,11,109
Mastering Generalized Anxiety - This Way Up,0,$0.00,669,"$19,400.00",0,0,11,103
Good Days Ahead - ReThink,244,$0.00,"1,100",$0,0,0,8,74
Overcoming Social Phobia - This Way Up,0,$0.00,411,"$11,900.00",0,0,7,72
SenseSleep - Train Your Brain To Sleep Better,26,$0.00,496,$0,0,0,4,43
VetChange,210,$0.00,308,$0,0,0,4,39
Sinasprite,104,$0.00,270,0,0,0,3,36
Lincus Companion,0,$0.00,326,$0,0,0,3,33
Wotnot,0,$0.00,174,$137,0,0,3,33
Mastering OCD - This Way Up,0,$0.00,140,"$4,000",0,0,3,31
Moodly Tracker - A Mood Minder,0,$0.00,363,$0,0,0,3,28
Stress Management Methods,0,$0.00,409,$0,0,0,2,21
Managing Depression - This Way Up,0,$0.00,91,"$2,800.00",0,0,1,13
Skills for Panic Disorder - This Way Up,0,$0.00,76,"$2,200.00",0,0,1,11
Mindfulness Caring for Me,0,$0.00,150,$0,0,0,1,10
Tomo,0,$0.00,29,$76,0,0,1,10
OCD Understood,0,$0.00,238,$0,0,0,0,4
DBSA Wellness Tracker,"17,300",$0.00,"24,900",$0,0,0,234,2
Step Away,0,$0.00,0,$0,0,0,0,0
Bliss,0,$0.00,0,$0,0,0,0,0
Meditate ॐ OM,0,$0.00,0,$0,0,0,0,0
Quit Smoking,0,$0.00,0,$0,0,0,0,0
Qi Gong Meditation Relaxation,0,$0.00,0,$0,0,0,0,0
Quit Smoking: Cessation Nation,0,$0.00,0,$0,0,0,0,0
Smart Alarm Clock,0,$0.00,0,$0,0,0,0,0
COGPACk,0,$0.00,0,$0,0,0,0,0
koko,0,$0.00,0,$0,0,0,0,0
Day to Day,0,$0.00,0,$0,0,0,0,0
Social Force,0,$0.00,0,$0,0,0,0,0
My Mantra,0,$0.00,0,$0,0,0,0,0
Daily Feats,0,$0.00,0,$0,0,0,0,0
